location_id,zone,borough,centroid_x,centroid_y,zipcode,county,neighborhood,median_household_income,median_home_value,population,population_density
84,Eltingville/Annadale/Prince's Bay,Staten Island,-74.19254830736539,40.5205240092086,10309,Richmond County,South Shore,86297.0,539100.0,32519,4840.0
88,Financial District South,Manhattan,-74.01181057800495,40.70127262275775,10004,New York County,Lower Manhattan,129313.0,894200.0,3089,5519.0
89,Flatbush/Ditmas Park,Brooklyn,-73.96209894515745,40.63698149986977,11210,Kings County,Flatbush,55429.0,485500.0,62008,37785.0
90,Flatiron,Manhattan,-73.99678865343326,40.74218874363324,10011,New York County,Chelsea and Clinton,104238.0,914500.0,50984,77436.0
125,Hudson Sq,Manhattan,-74.00891583848473,40.72575992769986,10013,New York County,Greenwich Village and Soho,83725.0,1000001.0,27700,50154.0
91,Flatlands,Brooklyn,-73.92937829673706,40.62812101710276,11210,Kings County,Flatbush,55429.0,485500.0,62008,37785.0
92,Flushing,Queens,-73.8276620685416,40.76028120270716,11355,Queens County,North Queens,41884.0,507500.0,85871,49492.0
93,Flushing Meadows-Corona Park,Queens,-73.84589608690189,40.7475193542386,11368,Queens County,West Queens,45964.0,480900.0,109931,41768.0
94,Fordham South,Bronx,-73.89892588398604,40.85868919311104,10458,Bronx County,Bronx Park and Fordham,24618.0,330300.0,79492,78784.0
95,Forest Hills,Queens,-73.84478828390044,40.72127900116013,11375,Queens County,West Central Queens,72000.0,358300.0,68733,34707.0
96,Forest Park/Highland Park,Queens,-73.86420961517386,40.69980487998142,11421,Queens County,Southwest Queens,60897.0,414700.0,39127,30376.0
97,Fort Greene,Brooklyn,-73.97761243126776,40.69157651433026,11205,Kings County,Northwest Brooklyn,44688.0,636900.0,40366,42508.0
98,Fresh Meadows,Queens,-73.77490131094916,40.73196585385928,11366,Queens County,Central Queens,71350.0,610100.0,13532,12362.0
99,Freshkills Park,Staten Island,-74.20318115230641,40.56822867204138,10312,Richmond County,South Shore,85324.0,467300.0,59304,7723.0
100,Garment District,Manhattan,-73.98871599355992,40.75338644003991,10119,New York County,,,,92,5592.0
101,Glen Oaks,Queens,-73.71560713472552,40.74649686377888,11004,Queens County,Southeast Queens,81709.0,432500.0,14016,14752.0
102,Glendale,Queens,-73.87706507814808,40.7018023200678,11385,Queens County,West Central Queens,50799.0,495800.0,98592,27290.0
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,-74.04577206414315,40.690330527725614,10004,New York County,Lower Manhattan,129313.0,894200.0,3089,5519.0
106,Gowanus,Brooklyn,-73.99187384175546,40.67382309206656,11231,Kings County,Northwest Brooklyn,78174.0,912000.0,33336,23441.0
