zipcode,neighborhood,county,median_household_income,median_home_value,population,population_density
11356,North Queens,Queens County,58465.0,562900.0,23438.0,14915.0
11357,North Queens,Queens County,71978.0,590800.0,39150.0,13973.0
11358,North Queens,Queens County,65722.0,625200.0,37546.0,19260.0
11359,North Queens,Queens County,,,0.0,
11360,North Queens,Queens County,76183.0,524000.0,18884.0,13251.0
11365,Central Queens,Queens County,55492.0,580300.0,42252.0,16923.0
11366,Central Queens,Queens County,71350.0,610100.0,13532.0,12362.0
11367,Central Queens,Queens County,56608.0,376400.0,41047.0,17252.0
11412,Jamaica,Queens County,70672.0,385700.0,34882.0,21186.0
11423,Jamaica,Queens County,60892.0,422200.0,29987.0,21254.0
11432,Jamaica,Queens County,50450.0,519000.0,60809.0,28295.0
11433,Jamaica,Queens County,42887.0,379700.0,32687.0,21062.0
11434,Jamaica,Queens County,59229.0,371900.0,59129.0,18256.0
11435,Jamaica,Queens County,53041.0,338100.0,53687.0,35447.0
11436,Jamaica,Queens County,62114.0,365500.0,17949.0,22783.0
11101,Northwest Queens,Queens County,47142.0,654900.0,25484.0,9744.0
11102,Northwest Queens,Queens County,49924.0,597700.0,34133.0,42255.0
11103,Northwest Queens,Queens County,55129.0,648900.0,38780.0,54537.0
11104,Northwest Queens,Queens County,56059.0,421800.0,27232.0,69826.0
11105,Northwest Queens,Queens County,57525.0,658700.0,36688.0,22481.0
11106,Northwest Queens,Queens County,48720.0,433600.0,38875.0,45359.0
11374,West Central Queens,Queens County,52532.0,297300.0,43600.0,46664.0
11375,West Central Queens,Queens County,72000.0,358300.0,68733.0,34707.0
11379,West Central Queens,Queens County,69843.0,543800.0,34821.0,16785.0
11385,West Central Queens,Queens County,50799.0,495800.0,98592.0,27290.0
11691,Rockaways,Queens County,39409.0,448200.0,60035.0,21185.0
11692,Rockaways,Queens County,43354.0,355800.0,18540.0,18566.0
11693,Rockaways,Queens County,50570.0,323100.0,11916.0,11950.0
11694,Rockaways,Queens County,76944.0,623200.0,20408.0,14944.0
11695,Rockaways,Queens County,,,,
11697,Rockaways,Queens County,87636.0,525600.0,4079.0,1838.0
11004,Southeast Queens,Queens County,81709.0,432500.0,14016.0,14752.0
11005,Southeast Queens,Queens County,64300.0,403700.0,1806.0,9898.0
11411,Southeast Queens,Queens County,83099.0,387900.0,18556.0,15875.0
11413,Southeast Queens,Queens County,78667.0,406200.0,38912.0,12553.0
11422,Southeast Queens,Queens County,84824.0,413800.0,30425.0,15456.0
11426,Southeast Queens,Queens County,82301.0,460500.0,17590.0,13039.0
11427,Southeast Queens,Queens County,70108.0,458400.0,23593.0,14967.0
11428,Southeast Queens,Queens County,69330.0,407700.0,19168.0,23021.0
11429,Southeast Queens,Queens County,68890.0,384700.0,25105.0,19296.0
11414,Southwest Queens,Queens County,66790.0,501700.0,26148.0,11370.0
11415,Southwest Queens,Queens County,63549.0,289800.0,19341.0,34042.0
11416,Southwest Queens,Queens County,56724.0,447200.0,24861.0,37347.0
11417,Southwest Queens,Queens County,62086.0,442900.0,28967.0,25886.0
11418,Southwest Queens,Queens County,60691.0,427000.0,36256.0,22201.0
11419,Southwest Queens,Queens County,56735.0,442900.0,47211.0,41805.0
11420,Southwest Queens,Queens County,59832.0,421200.0,44354.0,21345.0
11421,Southwest Queens,Queens County,60897.0,414700.0,39127.0,30376.0
11368,West Queens,Queens County,45964.0,480900.0,109931.0,41768.0
11369,West Queens,Queens County,53617.0,464500.0,38615.0,36170.0
11370,West Queens,Queens County,52500.0,517100.0,39688.0,27899.0
11372,West Queens,Queens County,48683.0,265500.0,66636.0,90360.0
11373,West Queens,Queens County,47667.0,499600.0,100820.0,66007.0
11377,West Queens,Queens County,49886.0,395800.0,89830.0,35274.0
11378,West Queens,Queens County,57474.0,538600.0,34981.0,13697.0
10302,Port Richmond,Richmond County,56841.0,382000.0,19088.0,15982.0
10303,Port Richmond,Richmond County,51537.0,325100.0,26337.0,8395.0
10310,Port Richmond,Richmond County,61925.0,414600.0,24962.0,13903.0
10306,South Shore,Richmond County,75807.0,450200.0,55909.0,7481.0
10307,South Shore,Richmond County,86457.0,567400.0,14096.0,7184.0
10308,South Shore,Richmond County,88075.0,452600.0,27357.0,13864.0
10309,South Shore,Richmond County,86297.0,539100.0,32519.0,4840.0
10312,South Shore,Richmond County,85324.0,467300.0,59304.0,7723.0
10301,Stapleton and St. George,Richmond County,56848.0,402300.0,39706.0,10852.0
10304,Stapleton and St. George,Richmond County,53168.0,403700.0,42193.0,10889.0
10305,Stapleton and St. George,Richmond County,70758.0,415300.0,41749.0,9819.0
10314,Mid-Island,Richmond County,77242.0,437500.0,85510.0,6235.0
